text,bad_word
 disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego ,1
 siapa yang telat ngasih tau elu edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga ,1
41 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0
 aku itu aku n nku tau matamu sipit tapi diliat dari mana itu aku ,0
 kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah ,1
 ya bani taplak dkk xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84 ,1
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0
gue baru aja kelar re watch aldnoah zero paling kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd url,1
nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak mertuaku taipan 2 depan twins baby amp romantika bank islam senawang ,0
 enak lg klo smbil ngewe ,1
setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu xf0 x9f x98 x8f ,1
 banci kaleng malu ga bisa jawab pertanyaan kami dari 2 hari lalu nyungsep koe url,1
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi ,0
aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi nyata,0
 bu guru enakan jadi jablay atau guru esde sih nkayaknya menikmati jadi pecun ini guru ,1
 lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar ,1
belakangan ini kok fikiran ampas banget ya ,0
ari sarua beki mah repeh monyet xf0 x9f x98 x86 xf0 x9f x98 x86 ,1
jadi cowo itu harus gantle kalo ga gantle itu namanya banci ,1
 slga mnr bom xf0 x9f x98 x82 ,0
asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin ,1
 kalo kamu noob pasti peluang disakitin nya lebih gede si ,0
 joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,0
pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada 2018 damai,0
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan ,0
siapapun gubernur dan presidennya rakyatnya ya kita juga ,0
ini si kerjaannya delay mulu setan ,1
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0
 pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong ,0
 itu mah sdh nenek nenek sy heran sama cebong biasay bohong terus ,1
 islam nusantara produk jil dipasarkan dg gencar oleh antek xc2 xb2 jil n nsementara jil anti arab tapi pro aseng n nkata alm kh hasyim muzadi ,0
dari habis sahur sampe jam 10 sibayik udah nete 4x skg rasanya lemas tak terkira xf0 x9f xa4 xa2 ,0
 gak kak emak mah gak demen ama yang sipit wkwk ,0
 kelakuan homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat url,1
 ga kak gua bukan orang jawa maaf yak gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang ,0
pegawai guardian training lagi kek mentang2 gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari ,1
 xe2 x80 x9dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat xe2 x80 x9d sanji hbd17thpelautjkt48 ,1
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri ,0
 presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatb3rsamajkw,0
edan emang goollnya fabiano ,1
gapernah mendalami al quran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw ,1
sangat terlihat beda sekali kewibawaannya yg sangat berwibawa cuma gubernur indonesia massya allah ,0
anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt,1
 gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu ,0
 apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda jawa ada hkbp juga kurang nusantara apa ,0
ciptakan situasi kamtibmas menjelang pilkada 2018 kapolsek konang silaturahmi ke tokoh masyarakat,0
