text,bad_word
cowok berusaha melacak perhatian gue lantas remehkan perhatian gue kasih khusus basic cowok bego,1
telat tau edan sarap gue bergaul cigax jifla calis licew,1
41 kadang berpikir percaya tuhan jatuh berkali kali kadang tuhan meninggalkan orang tuaku berencana berpisah kakakku memilih kristen anak ter,0
ku tau matamu sipit,0
kaum cebong kafir dongoknya dungu haha,1
ya bani taplak dk,1
deklarasi pilihan kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0
gue selesai re watch aldnoah zero kampret 2 karakter utama cowoknya kena friendzone bro xd,1
admin belanja port terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertuaku taipan 2 kembar baby romantika bank islam senawang,0
enak ngewe,1
gue jari gue ukur nyali bacot,1
banci kaleng malu 2 nyungsep koe,1
belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0
aktor huru hara 98 prabowo si lengserkan pemerintahan jokowi nyata,0
bu guru enakan jablay guru sekolah dasar sih kayaknya menikmati pecun guru,1
lawan bicara gue intelek kayak otak kencing onta gue mengakui hadis nabi sahih kafir kayak menolak ahlun nar,1
pikiran ampas banget ya,0
ari beki rapi monyet,1
cowok gantle gantle namanya banci,1
alga mnr bom,0
anjing ya gue jarang mengambek takut wkwk gue budak cinta,1
noob peluang disakiti nya gede sih,0
joko widodo dinilai presiden terlemah sejarah indonesia jokowi memiliki modal dukungan politik ketidakmampuan pemerintahannya menghadapi situasi ekonomi,0
pelajar kecamatan bilah hilir deklarasi anti hoaks pilihan kepala daerah 2018 damai,0
bandara udara internasional kertajati dibangun gubernur ahmad heryawan anggaran pendapatan belanja negara pemerintah pusat insya allah beroperasi,0
gubernur presidennya rakyatnya ya,0
sih kerjaannya delay mulu setan,1
menurutku pintu sorga pintu sorga asli pintu hatimu modus banget,0
partai komunis indonesia muncul jelang pemilihan kepala daerah pemilihan presiden digoreng gosong,0
nenek nenek heran cebong bohong,1
islam nusantara produk jil dipasarkan gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,0
habis sahur jam 10 si bayi nete kali lemas,0
kak emak suka sipit wkwk,0
kelakuan homo jaman now ngentot live blued gay video gvid lokal hangat,1
kak gue orang jawa maaf ya gue orang palembang kakak deh belajar aksara jawa kelak belajar budaya palembang,0
pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas belinya kabur gue matahari,1
bajingan melukai lady menerima ganjaran seratus kali lipat sanji selamat ulang pelaut jkt48,1
ajakan menolak berita hoaks sukseskan pilihan kepala daerah wilayah kota kediri,0
presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi,0
edan tujuannya fabiano,1
mendalami al alquran ya bang mulutnya kayak orang kafir bejat hina farhat abbas law,1
beda kewibawaannya berwibawa gubernur indonesia masya allah,0
anjir kali lihat orang bego debat pilihan kepala daerah kerjanya menyerang karakter kecewa on empok silvy and agus debat final pemilihan kepala daerah jakarta,1
